timestamp,open,high,low,close,volume
2018-05-24 16:00:00,98.3050,98.3600,98.2500,98.3100,2377114
2018-05-24 15:59:00,98.2900,98.3300,98.2900,98.3000,137133
2018-05-24 15:58:00,98.2900,98.3000,98.2600,98.2900,135875
2018-05-24 15:57:00,98.2950,98.3000,98.2800,98.2800,49929
2018-05-24 15:56:00,98.2300,98.3100,98.2300,98.3000,193758
2018-05-24 15:55:00,98.2250,98.2600,98.2100,98.2300,102730
2018-05-24 15:54:00,98.2700,98.2800,98.2100,98.2300,63028
2018-05-24 15:53:00,98.2750,98.2950,98.2600,98.2700,77959
2018-05-24 15:52:00,98.2600,98.2800,98.2350,98.2750,56479
2018-05-24 15:51:00,98.2050,98.3200,98.2050,98.2500,212562
2018-05-24 15:50:00,98.3200,98.3700,98.0900,98.2300,170721
2018-05-24 15:49:00,98.3650,98.3700,98.3100,98.3300,47318
2018-05-24 15:48:00,98.3450,98.3700,98.3200,98.3700,35873
2018-05-24 15:47:00,98.3200,98.3900,98.3100,98.3400,71727
2018-05-24 15:46:00,98.3300,98.3300,98.2600,98.3150,68965
2018-05-24 15:45:00,98.3700,98.3800,98.3290,98.3300,39197
2018-05-24 15:44:00,98.3900,98.3900,98.3250,98.3600,45393
2018-05-24 15:43:00,98.3800,98.3950,98.3700,98.3800,31363
2018-05-24 15:42:00,98.3844,98.4400,98.3800,98.3900,46296
2018-05-24 15:41:00,98.4300,98.4300,98.3600,98.3850,47748
2018-05-24 15:40:00,98.4650,98.4700,98.4250,98.4300,39203
2018-05-24 15:39:00,98.4810,98.4850,98.4200,98.4700,35824
2018-05-24 15:38:00,98.4750,98.5100,98.4750,98.4850,24875
2018-05-24 15:37:00,98.5100,98.5190,98.4800,98.4800,36525
2018-05-24 15:36:00,98.5434,98.5700,98.5050,98.5050,38049
2018-05-24 15:35:00,98.5300,98.5500,98.5210,98.5400,29520
2018-05-24 15:34:00,98.5500,98.5800,98.5050,98.5300,46748
2018-05-24 15:33:00,98.5450,98.5800,98.5300,98.5500,40979
2018-05-24 15:32:00,98.4900,98.5500,98.4800,98.5400,53499
2018-05-24 15:31:00,98.4400,98.5000,98.4400,98.4900,42834
2018-05-24 15:30:00,98.4350,98.4600,98.4200,98.4300,17663
2018-05-24 15:29:00,98.4700,98.4700,98.4210,98.4400,31623
2018-05-24 15:28:00,98.4642,98.4800,98.4561,98.4700,33191
2018-05-24 15:27:00,98.4600,98.4700,98.4558,98.4700,15791
2018-05-24 15:26:00,98.4300,98.4600,98.4200,98.4600,10956
2018-05-24 15:25:00,98.4200,98.4700,98.4200,98.4400,48599
2018-05-24 15:24:00,98.4000,98.4300,98.3900,98.4160,20498
